,x_val,y_val,data_channel
414491,203,2390,255.0
1730347,823,1854,209.0
677455,345,33,255.0
74566,29,2066,255.0
1216856,608,1030,141.0
2020581,941,298,255.0
304577,125,32,255.0
1800797,852,108,255.0
982954,498,1387,105.0
568982,286,2067,255.0
1634472,785,18,255.0
1963920,918,1058,255.0
637201,323,725,135.0
265067,106,67,255.0
248408,99,908,255.0
1656038,793,1911,255.0
282864,113,364,255.0
9159,3,1659,255.0
1124852,565,2046,255.0
1424410,698,1066,115.0
1368992,675,0,255.0
1197400,599,1584,105.0
260597,104,597,255.0
1888034,887,110,255.0
1371075,675,2203,255.0
1789616,847,1391,215.0
1041554,526,1608,115.0
1101153,554,1903,255.0
1683833,805,17,255.0
144204,57,1704,255.0
1593924,768,1348,162.0
1370285,675,1360,142.0
1842368,868,1801,211.0
1029209,520,1974,219.0
209448,83,1948,255.0
873223,444,2121,255.0
1671943,800,497,153.0
962806,488,1982,220.0
1586746,765,1515,134.0
1876231,882,758,194.0
1368226,674,1724,147.0
1457541,712,787,158.0
1501117,730,922,153.0
1780914,844,153,255.0
379134,185,559,103.0
1766752,838,933,217.0
94101,37,1601,255.0
552317,277,2423,255.0
294215,117,1715,255.0
1010415,511,2028,255.0
216553,86,1553,255.0
2162529,997,2246,255.0
300033,120,33,255.0
565517,284,2316,255.0
1827878,862,2278,255.0
1597094,769,2101,255.0
794369,405,715,103.0
877566,446,2460,255.0
1525151,740,679,161.0
487537,243,148,255.0
2074918,962,2135,255.0
2103324,974,541,255.0
1662578,796,1021,199.0
1897503,891,1370,241.0
1359027,670,2155,255.0
474947,236,957,125.0
2090912,969,629,255.0
1322826,655,1240,149.0
574368,289,1698,125.0
1129221,567,2125,255.0
173422,69,922,255.0
1429320,700,1239,153.0
1902956,893,1861,255.0
159512,63,2012,255.0
1933693,906,474,87.0
59616,23,2116,255.0
1102101,555,358,98.0
1484793,723,1680,137.0
512923,256,2075,255.0
383044,187,566,110.0
1760574,835,2229,255.0
351277,169,1921,255.0
1692006,808,753,174.0
1667129,798,650,196.0
576288,290,1770,96.0
866337,441,999,123.0
490998,244,2438,255.0
529030,265,1172,131.0
2087303,967,2020,255.0
1978509,924,677,255.0
1629311,782,2297,255.0
248220,99,720,255.0
1853071,873,30,255.0
710210,362,1047,94.0
1638461,786,1577,153.0
1154144,579,1242,89.0
1676008,801,2121,255.0
1439226,704,1642,112.0
1398969,687,1668,110.0
859057,437,2072,255.0
946990,481,142,255.0
1481513,722,777,122.0
538900,270,2072,255.0
1222520,610,2491,255.0
1203710,602,1069,94.0
1551470,751,290,255.0
1945078,910,2216,255.0
119189,47,1689,255.0
1911882,897,802,255.0
2149525,992,1742,255.0
1117287,562,628,127.0
520737,260,2497,255.0
1569887,758,1721,113.0
1449,0,1449,255.0
1523781,739,1782,144.0
1390615,684,285,255.0
341718,163,215,255.0
1280106,636,2026,255.0
172063,68,2063,255.0
183589,73,1089,255.0
772134,394,182,255.0
1366200,673,2121,255.0
1981271,925,947,255.0
1370012,675,1076,104.0
1849922,871,1873,255.0
1732362,824,1376,149.0
1672660,800,1227,196.0
1039376,525,1550,109.0
1841950,868,1382,208.0
2129795,984,2012,255.0
1731436,824,448,181.0
2147003,991,1720,255.0
839221,427,2111,255.0
1941625,909,1101,255.0
857974,437,585,86.0
677829,345,471,107.0
434634,214,1895,255.0
307886,128,2205,255.0
1867592,878,2097,255.0
62447,24,2447,255.0
567137,285,2078,255.0
564103,284,283,255.0
81997,32,1997,255.0
55211,22,211,255.0
1373690,676,2443,255.0
1837493,866,1916,255.0
1894262,889,1469,145.0
2005842,935,559,255.0
485349,241,2336,255.0
1494911,727,2097,255.0
1379852,679,1436,142.0
1438563,704,940,112.0
1604889,773,34,255.0
1172197,587,2428,255.0
629417,319,265,255.0
2000439,933,156,255.0
36316,14,1316,255.0
126534,50,1534,255.0
1969824,920,1971,255.0
37140,14,2140,255.0
1479988,721,1707,112.0
410049,201,1692,90.0
5940,2,940,255.0
2116697,979,1414,255.0
1120222,563,1647,87.0
89664,35,2164,255.0
169775,67,2275,255.0
1945493,911,131,255.0
1351777,667,1995,185.0
1950721,913,359,255.0
1797004,850,1303,214.0
1640397,787,1040,212.0
1223148,611,712,100.0
120275,48,275,255.0
351525,169,2171,255.0
1533414,743,1752,161.0
757728,386,2254,255.0
229540,91,2040,255.0
1380590,679,2207,255.0
400030,196,1458,90.0
1525767,740,1315,144.0
1608816,774,1516,132.0
920626,468,336,100.0
1166021,585,169,255.0
1959521,916,1659,255.0
1544566,748,710,100.0
127155,50,2155,255.0
1075889,542,2142,255.0
1553863,752,248,255.0
922365,469,9,255.0
12693,5,193,255.0
348846,168,617,115.0
1599660,770,2212,255.0
82651,33,151,255.0
206999,82,1999,255.0
1428197,700,51,255.0
14973,5,2473,255.0
1052063,531,1608,95.0
1189505,595,2469,255.0
1021902,517,677,144.0
447556,221,1694,104.0
556086,279,2390,255.0
1119699,563,976,119.0
795035,405,1698,119.0
1938764,908,675,255.0
505006,252,1278,115.0
1103793,555,2369,255.0
887819,452,154,255.0
1038781,525,778,105.0
1466186,715,2335,255.0
1619288,778,2141,255.0
497881,248,1914,255.0
745938,380,2306,255.0
638162,323,2171,255.0
877423,446,2317,255.0
1583918,764,1114,141.0
581193,293,482,142.0
2114194,978,1411,255.0
1003053,508,608,110.0
1965437,919,75,255.0
1604148,772,1787,171.0
1948558,912,696,255.0
1650617,791,1390,179.0
1935805,907,132,255.0
520945,261,205,255.0
1147208,576,531,135.0
1353730,668,1543,141.0
1153238,579,128,255.0
1464392,715,441,122.0
1569075,758,886,174.0
1716679,818,601,186.0
1581886,763,1522,141.0
1957424,915,2062,255.0
1145386,575,941,105.0
1922489,901,1488,255.0
25515,10,515,255.0
692170,352,2264,255.0
570186,287,1100,115.0
2048603,952,820,255.0
1334298,660,839,141.0
424899,209,1164,131.0
43531,17,1031,255.0
1266358,630,1830,134.0
1186945,594,2064,255.0
109627,43,2127,255.0
1435064,702,2280,255.0
158856,63,1356,255.0
1152038,578,1260,122.0
1821060,860,441,168.0
1810758,856,102,255.0
1188681,595,1538,109.0
1396741,686,1861,137.0
1266127,630,1545,115.0
1715284,817,1698,170.0
72735,29,235,255.0
468999,233,499,139.0
836843,426,1689,109.0
1900352,892,1737,255.0
595119,300,1756,160.0
1534426,744,275,255.0
1076564,543,320,109.0
1732367,824,1381,203.0
1245633,621,1124,110.0
599092,302,2089,255.0
170693,68,693,255.0
108889,43,1389,255.0
29724,11,2224,255.0
257811,103,311,255.0
656363,333,1983,184.0
894737,455,1195,113.0
495853,247,1528,87.0
1313937,651,1745,147.0
415953,204,1964,125.0
1747985,830,2081,255.0
944882,480,72,255.0
1112150,559,2169,255.0
1570109,758,1951,255.0
1047324,529,937,137.0
1388404,683,454,134.0
1331682,659,537,112.0
1978423,924,591,255.0
567487,285,2428,255.0
1420980,696,2447,255.0
92265,36,2265,255.0
767906,391,2436,255.0
1326553,657,145,255.0
2041092,949,809,255.0
1455915,711,1604,125.0
1439883,704,2321,255.0
1658397,794,1795,187.0
374604,182,2223,255.0
1919449,900,869,255.0
2031282,945,999,255.0
1100008,554,396,110.0
433843,214,634,87.0
1080445,544,2411,255.0
287787,115,287,255.0
2142067,989,1784,255.0
830056,423,494,137.0
182104,72,2104,255.0
1359967,671,616,147.0
786716,401,1180,129.0
2072690,961,2407,255.0
248664,99,1164,255.0
925590,470,1524,123.0
36715,14,1715,255.0
1455647,711,1313,168.0
927753,471,1750,107.0
849030,432,2035,255.0
192158,76,2158,255.0
581266,293,578,107.0
359753,174,943,116.0
452682,224,1018,129.0
241834,96,1834,255.0
1412742,693,1235,123.0
1571209,759,568,147.0
1575926,761,407,158.0
44503,17,2003,255.0
403643,198,1307,121.0
716906,365,2244,255.0
1173525,588,1469,110.0
1928206,903,2344,255.0
1342443,663,2056,255.0
1343753,664,943,141.0
1749546,831,1149,196.0
1818388,859,261,255.0
1192848,597,1298,127.0
454458,225,917,104.0
21660,8,1660,255.0
2130666,985,383,255.0
1564757,756,1482,154.0
1522722,739,650,138.0
568236,286,955,110.0
1164522,584,976,115.0
44022,17,1522,255.0
743122,379,1108,109.0
1601088,771,1164,152.0
37581,15,81,255.0
857362,436,2399,255.0
542886,272,2374,255.0
1821579,860,962,158.0
129204,51,1704,255.0
1278675,636,369,128.0
1631052,783,1555,161.0
302020,122,202,255.0
1210861,605,1756,127.0
557800,280,2201,255.0
1216069,608,119,255.0
481823,240,64,255.0
952955,483,2446,255.0
2056441,955,1158,255.0
1345468,665,253,255.0
1607676,774,364,147.0
375133,183,252,255.0
1842376,868,1809,206.0
517019,258,2479,255.0
831329,423,2200,255.0
353245,170,1723,107.0
1981508,925,1196,255.0
39228,15,1728,255.0
644430,327,526,116.0
1994516,930,1733,255.0
854435,435,1226,110.0
162547,65,47,255.0
1622172,780,67,255.0
759224,387,1697,94.0
1438515,704,889,149.0
1387012,682,1477,127.0
825039,420,1869,255.0
492260,245,1800,90.0
1984948,926,2143,255.0
1435430,703,146,255.0
1104592,556,765,119.0
1069935,540,53,255.0
1650762,791,1543,129.0
1079395,544,1166,104.0
423360,208,1742,113.0
1386278,682,696,161.0
623506,315,2359,255.0
1161257,582,2203,255.0
1403378,689,1322,149.0
1324857,656,876,101.0
1565354,756,2103,255.0
1805681,854,6,255.0
538548,270,1560,89.0
194112,77,1612,255.0
1424572,698,1237,165.0
1047917,529,1747,112.0
1940122,908,2071,255.0
1318164,653,1302,115.0
1000186,506,2213,255.0
2125850,983,567,255.0
1330113,658,1392,131.0
764261,390,326,127.0
458701,227,1903,255.0
652776,331,2120,255.0
1807292,854,1625,160.0
1864422,877,1415,178.0
892533,454,1018,191.0
405158,199,697,87.0
29335,11,1835,255.0
296645,118,1645,255.0
276669,110,1669,255.0
1967554,919,2193,255.0
390931,191,1528,96.0
268964,107,1464,255.0
2146065,991,782,255.0
1916053,898,2473,255.0
343402,164,1318,94.0
2127736,983,2453,255.0
1998490,932,707,255.0
1380081,679,1684,100.0
636320,322,2175,255.0
383496,187,1266,123.0
1883016,885,71,255.0
853908,435,518,116.0
443460,219,1091,86.0
902738,459,1061,128.0
409910,201,1416,100.0
395647,194,256,255.0
1575911,761,391,147.0
1357533,670,558,118.0
756215,386,251,255.0
855831,436,390,95.0
98302,39,802,255.0
1664394,797,369,141.0
1858566,875,541,219.0
1359874,671,512,190.0
1825117,861,2013,255.0
3460,1,960,255.0
410780,202,1,255.0
22886,9,386,255.0
890061,453,381,135.0
1093806,551,650,101.0
1921641,901,578,255.0
669844,340,2450,255.0
801943,409,118,255.0
285503,114,503,255.0
1780195,843,1932,255.0
381717,186,1406,113.0
89138,35,1638,255.0
747610,381,2015,255.0
2002953,934,170,255.0
1036885,524,997,157.0
1733665,825,184,255.0
389241,190,1781,98.0
1641959,788,122,255.0
161587,64,1587,255.0
1225571,612,1038,90.0
1320455,654,1242,129.0
80923,32,923,255.0
1275699,634,2143,255.0
140584,56,584,255.0
2161095,997,812,255.0
1429037,700,942,118.0
1544841,748,995,154.0
696366,355,155,255.0
950905,482,2432,255.0
1561146,755,241,255.0
940053,477,1718,134.0
1623296,780,1209,208.0
225939,90,939,255.0
694299,353,2468,255.0
1538286,745,1754,128.0
1695125,809,1394,203.0
710339,362,1228,118.0
650531,330,1593,101.0
309607,130,2108,255.0
471318,234,1170,100.0
1185208,593,2469,255.0
1106730,557,726,127.0
1050760,531,16,255.0
1606973,773,2156,255.0
244759,97,2259,255.0
882654,449,1315,94.0
1536251,744,2167,255.0
1294467,643,267,255.0
1954103,914,1241,255.0
998250,505,2399,255.0
1009679,511,1064,90.0
1301784,646,902,147.0
255082,102,82,255.0
1548409,749,2171,255.0
1454618,711,215,255.0
620532,314,692,109.0
1112301,559,2320,255.0
1779247,843,981,192.0
2072040,961,1757,255.0
1232035,615,918,122.0
4596,1,2096,255.0
582288,293,2110,255.0
925911,470,1981,218.0
1117423,562,802,134.0
66010,26,1010,255.0
1188814,595,1744,131.0
373687,182,911,125.0
605583,306,615,115.0
1318083,653,1217,104.0
1907785,895,1705,255.0
2103700,974,917,255.0
2062658,957,2375,255.0
1693662,808,2423,255.0
1693708,808,2469,255.0
2093465,970,682,255.0
1687168,806,881,183.0
720098,367,1355,122.0
1702680,812,1509,152.0
1457206,712,435,142.0
1629035,782,2021,255.0
1222396,610,2367,255.0
1197517,599,1746,95.0
732456,373,2384,255.0
1370854,675,1981,182.0
303097,123,1921,255.0
1798991,851,797,171.0
1243935,620,1786,113.0
1821166,860,548,190.0
1727218,822,1208,203.0
268321,107,821,255.0
355750,171,2387,255.0
516500,258,1958,241.0
142659,57,159,255.0
209489,83,1989,255.0
1972303,921,1951,255.0
1476483,720,557,94.0
1978543,924,711,255.0
1724414,821,897,188.0
1303956,647,761,129.0
173243,69,743,255.0
1658170,794,1562,101.0
1660654,795,1574,144.0
715728,365,621,90.0
1623859,780,1786,127.0
450111,222,2486,255.0
1476216,720,278,255.0
428750,211,1287,104.0
818118,417,426,101.0
1953908,914,1046,255.0
282651,113,151,255.0
495044,247,266,255.0
1945879,911,517,255.0
536871,269,1926,255.0
915610,465,1862,88.0
1691263,808,6,255.0
752017,384,13,255.0
1113687,560,1430,145.0
1422741,697,1834,105.0
45295,18,295,255.0
1934865,906,1686,255.0
805560,410,2297,255.0
1098571,553,1256,112.0
1179106,591,417,115.0
1181186,592,319,113.0
1448858,708,1709,123.0
511924,256,483,121.0
718903,366,2315,255.0
149511,59,2011,255.0
1558462,753,2496,255.0
924387,469,2477,255.0
594079,300,165,255.0
