,x_val,y_val,data_channel
58767,106,158,165.0
86522,145,259,189.0
278346,408,709,153.0
363410,526,599,193.0
61371,109,684,141.0
118405,189,342,176.0
270480,397,585,100.0
165727,254,121,211.0
13920,40,105,122.0
353212,512,651,201.0
277931,408,281,156.0
69356,121,194,167.0
76063,130,507,116.0
107820,174,641,195.0
92952,154,225,182.0
302925,443,477,161.0
157700,243,149,210.0
133671,210,281,202.0
326818,476,559,147.0
174802,266,404,220.0
330790,482,153,188.0
254330,375,234,180.0
110714,178,643,196.0
48638,91,392,123.0
233221,346,281,174.0
235002,348,598,96.0
108763,176,133,174.0
137717,215,668,211.0
352552,511,723,149.0
168133,257,328,211.0
195077,294,170,204.0
235527,349,392,132.0
148942,231,178,182.0
90985,151,411,185.0
354843,515,87,189.0
343117,499,64,171.0
131246,207,49,157.0
148489,230,458,206.0
29507,63,191,165.0
234435,348,30,180.0
332598,484,502,165.0
264127,388,656,179.0
271587,399,267,209.0
271952,399,643,147.0
331036,482,402,105.0
238245,353,184,192.0
38309,76,225,141.0
33170,68,490,101.0
235854,349,719,214.0
71015,123,444,116.0
123334,196,163,180.0
216028,322,635,212.0
87092,146,112,181.0
252298,372,383,172.0
223022,332,320,214.0
90175,150,317,168.0
38392,76,315,152.0
136231,213,647,176.0
76572,131,309,125.0
17974,46,137,163.0
256029,377,489,150.0
275815,405,268,165.0
178522,271,463,216.0
257947,380,230,157.0
218044,325,458,200.0
354154,514,128,162.0
103820,169,259,201.0
109713,177,363,186.0
163911,251,499,215.0
41863,81,437,153.0
147923,229,625,218.0
24115,55,221,152.0
207776,311,425,202.0
209612,314,68,200.0
224358,334,192,199.0
209075,313,263,202.0
109086,176,458,187.0
216214,323,92,212.0
284123,417,121,119.0
151647,234,684,204.0
191849,289,602,208.0
197997,298,163,202.0
19478,48,325,107.0
87014,146,29,144.0
63890,113,370,176.0
77842,133,155,138.0
262196,386,153,132.0
209018,313,206,171.0
172770,263,571,210.0
148947,231,183,181.0
287097,421,276,174.0
142059,221,621,220.0
160691,247,209,174.0
250198,369,464,178.0
178959,272,167,181.0
359623,521,475,199.0
24988,56,427,113.0
157483,242,664,215.0
153167,237,8,142.0
74566,128,437,118.0
168280,257,475,196.0
304577,445,716,116.0
227933,339,110,208.0
295183,432,556,160.0
128691,203,419,174.0
294882,432,248,142.0
42838,83,11,116.0
150975,234,12,180.0
44694,85,527,156.0
99437,163,221,188.0
116327,186,447,170.0
61608,110,201,149.0
201388,302,626,217.0
112913,181,669,176.0
265067,390,148,168.0
248408,367,127,189.0
83174,140,494,194.0
151424,234,461,196.0
282864,415,281,182.0
134497,211,375,197.0
214098,320,164,191.0
9159,32,654,162.0
76276,130,729,118.0
94884,156,721,188.0
320416,467,706,179.0
148824,231,60,218.0
260597,383,723,145.0
238614,353,553,195.0
315170,460,515,142.0
351070,509,704,206.0
18628,47,127,141.0
322499,470,615,199.0
216752,323,631,191.0
52577,97,216,161.0
57995,105,84,122.0
110969,179,170,196.0
193972,292,530,214.0
144204,224,568,204.0
21060,50,574,115.0
321709,469,552,187.0
269504,396,313,92.0
209448,313,636,211.0
348935,507,27,199.0
99079,162,588,156.0
316705,462,612,194.0
13882,40,66,129.0
303367,444,200,149.0
319650,466,658,132.0
133252,209,592,196.0
24694,56,119,119.0
208050,311,699,202.0
227916,339,93,176.0
43437,83,648,167.0
193888,292,446,211.0
94101,155,657,158.0
28029,61,27,94.0
127068,201,255,211.0
294215,431,295,180.0
41625,81,185,96.0
216553,323,432,171.0
86263,144,721,178.0
65377,115,452,147.0
300033,439,431,166.0
41229,80,482,123.0
151668,234,706,220.0
255014,376,193,194.0
354517,514,491,217.0
205211,308,57,189.0
24230,55,345,149.0
270081,397,177,147.0
353278,512,717,206.0
98549,162,56,168.0
56946,103,448,158.0
6172,28,114,109.0
89714,149,582,162.0
324639,473,571,167.0
310451,454,133,152.0
274250,403,105,137.0
50080,93,460,122.0
65505,115,581,144.0
80645,137,105,165.0
31653,66,314,156.0
173422,264,490,220.0
330092,481,185,185.0
159512,245,496,216.0
360829,523,215,218.0
211808,317,68,160.0
59616,107,331,176.0
26776,59,165,147.0
53525,98,484,129.0
157987,243,437,217.0
367934,532,728,214.0
187710,284,125,219.0
339837,494,439,174.0
280096,411,325,174.0
127225,201,412,196.0
351277,510,178,205.0
294744,432,107,152.0
119142,190,352,188.0
125299,198,676,174.0
281514,413,333,149.0
94265,156,93,186.0
337561,491,349,206.0
52000,96,330,144.0
266600,392,253,144.0
342049,497,456,193.0
4742,25,511,109.0
192705,290,726,160.0
343347,499,294,197.0
181791,276,69,205.0
56447,102,647,167.0
251267,371,74,171.0
248220,366,669,174.0
280207,411,438,206.0
305949,447,653,142.0
185922,281,535,206.0
65597,115,674,195.0
184019,279,98,203.0
105568,171,563,174.0
239162,354,368,211.0
103144,168,308,190.0
357282,518,331,205.0
312094,456,333,191.0
350393,509,24,218.0
10336,34,518,150.0
